theweb.sk: 1 goride.gamerhost-server.pro.
tide.sk: 10 mail.tide.sk.
worldlife.sk: 10 mx2.netim.net.
worldlife.sk: 10 mx1.netim.net.
vanessa.sk: 10 blackhole.aftermarket.pl.
voodoo.sk: 10 relay.exohosting.sk.
voodoo.sk: 20 relay2.dnsserver.eu.
voodoo.sk: 15 relay3.dnsserver.eu.
voodoo.sk: 10 relay1.exohosting.sk.
munch.sk: 10 alt4.aspmx.l.google.com.
munch.sk: 1 aspmx.l.google.com.
munch.sk: 5 alt1.aspmx.l.google.com.
munch.sk: 5 alt2.aspmx.l.google.com.
munch.sk: 10 alt3.aspmx.l.google.com.
virtual.sk: 20 mail.virtual.sk.
transfermarkt.sk: 10 mail02.transfermarkt.de.
transfermarkt.sk: 20 mail01.transfermarkt.de.
peugeot.sk: 10 smtp.mail.swan.sk.
bruno.sk: 10 aspmx.l.google.com.
bruno.sk: 30 aspmx3.googlemail.com.
bruno.sk: 20 alt1.aspmx.l.google.com.
bruno.sk: 20 alt2.aspmx.l.google.com.
bruno.sk: 30 aspmx2.googlemail.com.
media.sk: 10 dita.redigy.cz.
cocreate.sk: 100 mx20.websupport.sk.
cocreate.sk: 10 mx10.websupport.sk.
deepseek.sk: 10 blackhole.aftermarket.pl.
aitools.sk: 10 mail.aitools.sk.
webflow.sk: 20 mailsec.protonmail.ch.
webflow.sk: 10 mail.protonmail.ch.
matt.sk: 10 ALT3.ASPMX.L.GOOGLE.COM.
matt.sk: 1 ASPMX.L.GOOGLE.COM.
matt.sk: 5 ALT2.ASPMX.L.GOOGLE.COM.
matt.sk: 5 ALT1.ASPMX.L.GOOGLE.COM.
matt.sk: 10 ALT4.ASPMX.L.GOOGLE.COM.
tru.sk: 10 relay1.netnames.net.
tru.sk: 100 relay2.netnames.net.
solideo.sk: 1 fwd1.porkbun.com.
solideo.sk: 1 fwd2.porkbun.com.
arrow.sk: 0 .
alza.sk: 0 alza-sk.mail.protection.outlook.com.
cherish.sk: 10 mx00.udag.de.
kink.sk: 100 mailin2.kink.sk.
kink.sk: 10 mailin1.kink.sk.
moe.sk: 10 mailin1.moe.sk.
moe.sk: 100 mailin2.moe.sk.
cyza.sk: 10 mx2.netim.net.
cyza.sk: 10 mx1.netim.net.
google.sk: 0 smtp.google.com.
otto.sk: 20 ms.smtp.cz.
otto.sk: 10 in.smtp.cz.
books.sk: 0 mx.books.sk.cust.hostedemail.com.
not.sk: 10 smtp.mjch.eu.
signal.sk: 20 mx.smtp.cz.
signal.sk: 10 in.smtp.cz.
exe.sk: 0 exe-sk.mail.protection.outlook.com.
lotus.sk: 100 ns.watson.ibm.com.
post.sk: 20 pp-sk-20mx2.eco-mx.cz.
post.sk: 20 pp-sk-20mx1.eco-mx.cz.
post.sk: 10 pp-sk-10mx2.eco-mx.cz.
post.sk: 10 pp-sk-10mx1.eco-mx.cz.
docu.sk: 0 docu.sk.
chris.sk: 50 fb.mail.gandi.net.
chris.sk: 10 spool.mail.gandi.net.
adams.sk: 0 adams-sk.mail.protection.outlook.com.
jar.sk: 10 edc-filter01.eu.pg.com.
jar.sk: 10 bdc-filter02.na.pg.com.
jar.sk: 10 bdc-filter01.na.pg.com.
jar.sk: 10 bdc-filter03.na.pg.com.
thebodyshop.sk: 5 alt2.aspmx.l.google.com.
thebodyshop.sk: 1 aspmx.l.google.com.
thebodyshop.sk: 5 alt1.aspmx.l.google.com.
thebodyshop.sk: 10 alt3.aspmx.l.google.com.
thebodyshop.sk: 10 alt4.aspmx.l.google.com.
oath.sk: 0 .
hotel.sk: 10 wes1-mx-backup.wedos.net.
hotel.sk: 1 wes1-mx2.wedos.net.
hotel.sk: 1 wes1-mx1.wedos.net.
thai.sk: 10 mx.inetadmin.eu.
thai.sk: 20 mx.inetadmin.sk.
thai.sk: 30 mx.inetadmin.cz.
talon.sk: 100 mx20.websupport.sk.
talon.sk: 10 mx10.websupport.sk.
brain.sk: 10 aspmx4.googlemail.com.
brain.sk: 10 aspmx5.googlemail.com.
brain.sk: 1 aspmx.l.google.com.
brain.sk: 10 aspmx3.googlemail.com.
brain.sk: 5 alt1.aspmx.l.google.com.
brain.sk: 10 aspmx2.googlemail.com.
brain.sk: 5 alt2.aspmx.l.google.com.
leader.sk: 10 _dc-mx.ff85302f5343.leader.sk.
bayer.sk: 10 bayer-sk.mail.protection.outlook.com.
argus.sk: 10 mail.argus-sk.sk.
future.sk: 10 mail.phuture.sk.
derma.sk: 10 mail3.elbiahosting.sk.
alo.sk: 0 alo-sk.mail.protection.outlook.com.
dash.sk: 80 route2.mx.cloudflare.net.
dash.sk: 49 route1.mx.cloudflare.net.
dash.sk: 2 route3.mx.cloudflare.net.
camino.sk: 100 mx20.websupport.sk.
camino.sk: 10 mx10.websupport.sk.
pseudo.sk: 20 mx2.improvmx.com.
pseudo.sk: 10 mx1.improvmx.com.
mojo.sk: 5 mx1-hosting.jellyfish.systems.
mojo.sk: 20 mx3-hosting.jellyfish.systems.
mojo.sk: 10 mx2-hosting.jellyfish.systems.
stellar.sk: 10 www.stellar.sk.pamx1.hotmail.com.
smartup.sk: 10 mailin1.smartup.sk.
smartup.sk: 100 mailin2.smartup.sk.
guru.sk: 10 alt4.aspmx.l.google.com.
guru.sk: 5 alt1.aspmx.l.google.com.
guru.sk: 1 aspmx.l.google.com.
guru.sk: 5 alt2.aspmx.l.google.com.
guru.sk: 10 alt3.aspmx.l.google.com.
visa.sk: 0 visa-sk.mail.protection.outlook.com.
ash.sk: 20 mailin2.ash.sk.
ash.sk: 10 mailin1.ash.sk.
kaufland.sk: 10 kaufland-sk.mail.protection.outlook.com.
decode.sk: 5 mx1.hostinger.com.
decode.sk: 10 mx2.hostinger.com.
woman.sk: 10 mail.uxsolutions.sk.
magic.sk: 0 magic-sk.mail.protection.outlook.com.
climate.sk: 10 mail.idp365.net.
sri.sk: 32767 ms87529680.msv1.invalid.
sri.sk: 0 sri-sk.mail.protection.outlook.com.
hana.sk: 100 mailin2.hana.sk.
hana.sk: 10 mailin1.hana.sk.
opal.sk: 16 opal.opalmultimedia.sk.
teamviewer.sk: 0 .
candy.sk: 10 relay1.netnames.net.
candy.sk: 100 relay2.netnames.net.
emeis.sk: 10 custmx.cscdns.net.
hoffman.sk: 0 hoffman-sk.mail.protection.outlook.com.
truist.sk: 10 custmx.cscdns.net.
meeting.sk: 10 mail.meeting.sk.
icann.sk: 10 mailin.mx-hub.net.
icann.sk: 10 mailin.mx-hub.cz.
icann.sk: 10 mailin.mx-hub.eu.
icann.sk: 10 mailin.mx-hub.sk.
chicken-road.sk: 60 route1.mx.cloudflare.net.
chicken-road.sk: 87 route2.mx.cloudflare.net.
chicken-road.sk: 32 route3.mx.cloudflare.net.
zaza.sk: 10 mail.zaza.sk.
