true.yt: 10 mailpro.oaknet.cloud.
1800flowers.yt: 10 custmx.cscdns.net.
fuck.yt: 0 .
studio.yt: 1 aspmx.l.google.com.
studio.yt: 10 alt3.aspmx.l.google.com.
studio.yt: 5 alt2.aspmx.l.google.com.
studio.yt: 10 alt4.aspmx.l.google.com.
studio.yt: 5 alt1.aspmx.l.google.com.
marketing.yt: 20 mx2-hosting.jellyfish.systems.
marketing.yt: 10 mx1-hosting.jellyfish.systems.
marketing.yt: 30 mx3-hosting.jellyfish.systems.
gmail.yt: 10 mx.yandex.net.
mca.yt: 10 spool.mail.gandi.net.
mca.yt: 50 fb.mail.gandi.net.
done.yt: 10 alt4.aspmx.l.google.com.
done.yt: 5 alt2.aspmx.l.google.com.
done.yt: 5 alt1.aspmx.l.google.com.
done.yt: 1 aspmx.l.google.com.
done.yt: 10 alt3.aspmx.l.google.com.
pic.yt: 20 blizzard-relay.mxrouting.net.
pic.yt: 10 blizzard.mxrouting.net.
chatbot.yt: 0 .
pulse.yt: 5 mx2.mail.ovh.net.
pulse.yt: 100 mx3.mail.ovh.net.
pulse.yt: 1 mx1.mail.ovh.net.
dan.yt: 10 mx1.netim.net.
dan.yt: 10 mx2.netim.net.
root.yt: 10 mx2.spacemail.com.
root.yt: 0 mx1.spacemail.com.
virtual.yt: 0 .
ice.yt: 10 mxa.mailgun.org.
ice.yt: 10 mxb.mailgun.org.
indigo.yt: 10 spool.mail.gandi.net.
indigo.yt: 50 fb.mail.gandi.net.
online.yt: 10 emx.mail.ru.
fire.yt: 10 mail.attiv.it.
mcb.yt: 10 mx1.titan.email.
mcb.yt: 20 mx2.titan.email.
grok.yt: 28 route2.mx.cloudflare.net.
grok.yt: 1 route1.mx.cloudflare.net.
grok.yt: 8 route3.mx.cloudflare.net.
gem.yt: 62 route2.mx.cloudflare.net.
gem.yt: 75 route3.mx.cloudflare.net.
gem.yt: 95 route1.mx.cloudflare.net.
smith.yt: 10 mx2.netim.net.
smith.yt: 10 mx1.netim.net.
ccc.yt: 1 SMTP.GOOGLE.COM.
psy.yt: 10 mail.psy.yt.
halo.yt: 10 halo-yt.mail.protection.outlook.com.
cow.yt: 50 fb.mail.gandi.net.
cow.yt: 10 spool.mail.gandi.net.
lumi.yt: 5 mx1.hostinger.com.
